opponent,status,wins,draws,losses,errors,games,win_rate,trained_against,note
WorkerRush,OK,0,0,0,0,0,0.0,no,
LightRush,OK,0,0,0,0,0,0.0,no,
HeavyRush,OK,0,0,0,0,0,0.0,no,
RangedRush,OK,0,0,0,0,0,0.0,no,
WorkerRushPlusPlus,OK,0,0,0,0,0,0.0,no,
EconomyRush,OK,0,0,0,0,0,0.0,no,
EconomyRushBurster,OK,0,0,0,0,0,0.0,no,
EconomyMilitaryRush,OK,0,0,0,0,0,0.0,no,
EMRDeterministico,OK,0,0,0,0,0,0.0,no,
SimpleEconomyRush,OK,0,0,0,0,0,0.0,no,
LightDefense,OK,0,0,0,0,0,0.0,no,
HeavyDefense,OK,0,0,0,0,0,0.0,no,
RangedDefense,OK,0,0,0,0,0,0.0,no,
WorkerDefense,OK,0,0,0,0,0,0.0,no,
RandomAI,OK,0,0,0,0,0,0.0,no,
RandomBiasedAI,OK,0,0,0,0,0,0.0,no,
RandomBiasedSingleUnitAI,OK,0,0,0,0,0,0.0,no,
PassiveAI,OK,0,0,0,0,0,0.0,yes,
